Address,Census Code,Geo ID,Tract
1690-1698 NORTHWEST 16TH TERRACE,1.2001E+14,12001001100,1100
2106 NORTHWEST 4TH PLACE,1.2001E+14,12001001000,1000
1000 NW 6TH AVE,1.2001E+14,12001000200,200
4321 SW 24TH AVE,1.2001E+14,12001001521,1521
NE 4TH AVE AND NE 6TH STREET,NA,NA,NA
1923 NW 23RD BLVD,1.2001E+14,12001001100,1100
1017 NW 42ND AVE,1.2001E+14,12001000302,302
1522 NORTHWEST 4TH STREET,1.2001E+14,12001000301,301
710 NW 4TH STREET,1.2001E+14,12001000200,200
1653 NW 17TH ST,NA,NA,NA
35 SE 5TH AVE,1.2001E+14,12001000500,500
4901-4999 SW 18TH PL,1.2001E+14,12001001604,1604
2301 SW 39TH DRIVE,1.2001E+14,12001001521,1521
4010 NORTHWEST 8TH AVENUE,1.2001E+14,12001001702,1702
1216 NE 9 AVE,1.2001E+14,12001000500,500
1911 NE 3RD AVE,1.2001E+14,12001000600,600
4348 NW 28TH TERR,1.2001E+14,12001001202,1202
207 NW 35TH TERRACE,1.2001E+14,12001001603,1603
212 NW 21ST ST,1.2001E+14,12001001000,1000
SW 62ND BLVD,NA,NA,NA
1410 SW 25TH PL,1.2001E+14,12001000809,809
1521 NW 35TH TERRACE,1.2001E+14,12001001702,1702
300 SW 13TH ST,1.2001E+14,12001000700,700
4373-7299 NW 18 AVE,1.2001E+14,12001001702,1702
715 NW 6TH AVE,1.2001E+14,12001000200,200
2115 NW 3RD PL,1.2001E+14,12001001000,1000
5651-5681 NW 43RD ST,1.2001E+14,12001001803,1803
GUERRY-HAWTHORNE CONNECTION TRAIL,NA,NA,NA
200 E UNIVERSITY AVE,1.2001E+14,12001000500,500
618 NW 1ST STREET,1.2001E+14,12001000500,500
716  SW   25  TH  STREET,NA,NA,NA
2003 NORTHWEST 32 PLACE,1.2001E+14,12001001203,1203
4234 NW 27TH TERR,1.2001E+14,12001001202,1202
417 NW 39 RD,1.2001E+14,12001001603,1603
3700 NW 53RD AVE,1.2001E+14,12001001701,1701
2800 NORTHEAST 9TH STREET,1.2001E+14,12001000400,400
WESTSIDE PARK,NA,NA,NA
600-612 SOUTHEAST 8TH STREET,1.2001E+14,12001000700,700
2114 NW 2ND ST,1.2001E+14,12001000301,301
718 SW 10TH ST,1.2001E+14,12001000200,200
327 NORTHWEST 16TH STREET,1.2001E+14,12001001000,1000
710 NW 3RD STREET,1.2001E+14,12001000200,200
1531 NW 6TH AVENUE,1.2001E+14,12001001000,1000
1900 NW 22 STREET,1.2001E+14,12001001100,1100
20 SW 23 ST,1.2001E+14,12001001000,1000
SOUTH MAIN STREET,NA,NA,NA
157 GALE LEMERAND DR,NA,NA,NA
SE 4 AVE,NA,NA,NA
3403 W UNIV AV,1.2001E+14,12001001604,1604
752 NW 22ND ST,1.2001E+14,12001001000,1000
1805-1899 NORTHWEST 31ST PLACE,1.2001E+14,12001001203,1203
3700 NW 19TH ST,1.2001E+14,12001001202,1202
1223 NW 18TH AVE,1.2001E+14,12001000301,301
439 NW 37TH AVE,1.2001E+14,12001000302,302
4320 NW 25TH TERRACE,1.2001E+14,12001001202,1202
658-668 NORTHWEST 22ND STREET,1.2001E+14,12001001000,1000
1220 NW 7TH ST,1.2001E+14,12001000301,301
4313 NW 27TH TERRACE,1.2001E+14,12001001202,1202
2817 NW 41ST PLACE,1.2001E+14,12001001202,1202
4234 NW 27TH TERRACE,1.2001E+14,12001001202,1202
3960 PLAZA BLVD,NA,NA,NA
N MAIN ST & 1ST AV,NA,NA,NA
4201 NW 14TH PLACE,1.2001E+14,12001001702,1702
NW 80TH AVE,NA,NA,NA
709 NW 22ND ST,1.2001E+14,12001001000,1000
1629-1635 NORTHWEST 36TH WAY,1.2001E+14,12001001702,1702
120   NORTH WEST  24  TH ST,NA,NA,NA
2930 SW 23RD TERRACE,1.2001E+14,12001001000,1000
420-498 NE BLVD,1.2001E+14,12001000500,500
1025 NE 22ND ST,1.2001E+14,12001000600,600
901-921 NE 4TH PL,1.2001E+14,12001000500,500
1911 SE 14 AVE,1.2001E+14,12001000700,700
2419 NW 13TH PLACE,1.2001E+14,12001001000,1000
516 SW 40 TERRACE,1.2001E+14,12001001604,1604
BO DIDDLEY PLAZA,NA,NA,NA
3941  SW 5TH PLACE,1.2001E+14,12001001604,1604
2116-2124 NE 8TH ST,1.2001E+14,12001000400,400
4027 SOUTHWEST 28TH TERRACE,1.2001E+14,12001001517,1517
4304 NW 13TH STREET,1.2001E+14,12001002204,2204
914 NE BLVD,NA,NA,NA
ADDRESS UNAVAILABLE,NA,NA,NA
876 SE 4 ST,1.2001E+14,12001000700,700
928 SW 1 AVE,1.2001E+14,12001000200,200
2814 NE 18TH DR,1.2001E+14,12001000400,400
3396-3520 SW 35TH PL,1.2001E+14,12001001515,1515
3312 SOUTHWEST 35TH BOULEVARD,1.2001E+14,12001001515,1515
207 SE 2 ST,1.2001E+14,12001000500,500
3300 SW 23RD TERRACE,1.2001E+14,12001001514,1514
162 NORTHWEST 24TH STREET,1.2001E+14,12001001000,1000
3525 SW ARCHER RD,1.2001E+14,12001002220,2220
200 E UNIVERSITY AVE,1.2001E+14,12001000500,500
5100 NW 80TH RD,1.2001E+14,12001001813,1813
700 SOUTHWEST 62ND BOULEVARD,1.2001E+14,12001001604,1604
902 NORTHWEST 62 STREET,1.2001E+14,12001001604,1604
901-999 NE 31ST AVE,1.2001E+14,12001000400,400
"935 NE 3RD AVE
GAINESVILLE FL 32601
UNITED STATES",1.2001E+14,12001000500,500
527-535 NE 12TH ST,1.2001E+14,12001000500,500
2928 NW 49TH PL,NA,NA,NA
