Address,Census Code,Geo ID,Tract,Population,Median Income,Per Capita,Under Poverty,Employed
1690-1698 NORTHWEST 16TH TERRACE,120010011003032,12001001100,001100,7143,40000,1752,39743,5676
2106 NORTHWEST 4TH PLACE,120010010004035,12001001000,001000,5596,16646,783,37463,5223
1000 NW 6TH AVE,120010002003009,12001000200,000200,6671,7174,282,11678,6534
4321 SW 24TH AVE,120010015213023,12001001521,001521,4229,17670,527,16308,3882
NE 4TH AVE AND NE 6TH STREET,NA,NA,NA,NA,NA,NA,NA,NA
1923 NW 23RD BLVD,120010011003008,12001001100,001100,7143,40000,1752,39743,5676
1017 NW 42ND AVE,120010003022010,12001000302,000302,2343,24292,414,25223,1967
1522 NORTHWEST 4TH STREET,120010003012004,12001000301,000301,4355,20845,615,19201,3871
710 NW 4TH STREET,120010002001002,12001000200,000200,6671,7174,282,11678,6534
1653 NW 17TH ST,NA,NA,NA,NA,NA,NA,NA,NA
35 SE 5TH AVE,120010005001098,12001000500,000500,5171,24516,872,30253,4560
4901-4999 SW 18TH PL,120010016044034,12001001604,001604,8129,18544,918,20622,7700
2301 SW 39TH DRIVE,120010015211000,12001001521,001521,4229,17670,527,16308,3882
4010 NORTHWEST 8TH AVENUE,120010017021033,12001001702,001702,5622,38289,1352,40794,4560
1216 NE 9 AVE,120010005002003,12001000500,000500,5171,24516,872,30253,4560
1911 NE 3RD AVE,120010006003030,12001000600,000600,5195,20582,987,13268,3835
4348 NW 28TH TERR,120010012021005,12001001202,001202,7309,33838,1572,39611,6253
207 NW 35TH TERRACE,120010016031026,12001001603,001603,1467,17042,213,24036,1311
212 NW 21ST ST,120010010004044,12001001000,001000,5596,16646,783,37463,5223
SW 62ND BLVD,NA,NA,NA,NA,NA,NA,NA,NA
1410 SW 25TH PL,120010008091023,12001000809,000809,1231,24085,125,24212,1159
1521 NW 35TH TERRACE,120010017021007,12001001702,001702,5622,38289,1352,40794,4560
300 SW 13TH ST,120010007001011,12001000700,000700,6395,19240,1305,19984,5284
4373-7299 NW 18 AVE,120010017023009,12001001702,001702,5622,38289,1352,40794,4560
