Tract,Assigned To:,Request Type,Cluster Group,Population,Median Income,Per Capita,Under Poverty,Caucasians,Latinos,African Americans,Others,High School Graduates,Bachelors Degree,Graduate or PhD Degree,US Citizens by Birth,US Citizens via Naturalization,Non US Citizens,Unemployed Veterns,Unemployed Non-Veterns,Employed Veterns,Employed Non-Veterns,Veterns Labor Force,Non-Veterns Labor Force,High School Enrollment,Undergraduate Enrollment,Graduate or PhD Enrollment
500,Public Services,Road Repair,6,5171,24516,30253,1618,3886,484,1002,72,518,1018,908,4684,76,335,0,65,50,1621,50,1686,65,770,393
200,Public Services,Road Repair,5,6671,7174,11678,3568,5009,679,1081,50,612,163,325,6202,170,209,0,219,0,2251,0,2470,138,4252,582
500,Public Services,Road Repair,6,5171,24516,30253,1618,3886,484,1002,72,518,1018,908,4684,76,335,0,65,50,1621,50,1686,65,770,393
1902,Public Services,Road Repair,1,3192,13594,13393,1201,1703,186,1395,13,685,48,67,2914,75,68,0,0,0,386,0,386,221,94,0
1202,Public Services,Road Repair,3,7309,33838,39611,624,5478,839,862,67,1215,1438,1110,6478,349,167,0,70,50,1829,50,1899,83,522,404
1202,Public Services,Road Repair,3,7309,33838,39611,624,5478,839,862,67,1215,1438,1110,6478,349,167,0,70,50,1829,50,1899,83,522,404
1100,Public Services,Road Repair,3,7143,40000,39743,618,5867,550,649,22,657,1303,1876,6073,555,300,0,0,0,817,0,817,346,317,268
302,Public Services,Road Repair,1,2343,24292,25223,471,1599,432,390,59,508,261,153,2137,142,31,0,129,8,575,8,704,30,208,111
500,Public Services,Residential Rental Maintenance,6,5171,24516,30253,1618,3886,484,1002,72,518,1018,908,4684,76,335,0,65,50,1621,50,1686,65,770,393
1100,Public Services,Other,3,7143,40000,39743,618,5867,550,649,22,657,1303,1876,6073,555,300,0,0,0,817,0,817,346,317,268
500,Health and Public Safety,Vehicle (Abandoned/Non-Operational),6,5171,24516,30253,1618,3886,484,1002,72,518,1018,908,4684,76,335,0,65,50,1621,50,1686,65,770,393
1201,Public Services,Road Repair,1,3421,32714,32910,234,2441,460,480,72,474,538,563,2824,359,71,0,41,15,557,15,598,226,238,88
1201,Public Services,Road Repair,1,3421,32714,32910,234,2441,460,480,72,474,538,563,2824,359,71,0,41,15,557,15,598,226,238,88
302,Neighborhood,Grass (Overgrown),1,2343,24292,25223,471,1599,432,390,59,508,261,153,2137,142,31,0,129,8,575,8,704,30,208,111
1000,Neighborhood,Tree/Limbs (Private Property),2,5596,16646,37463,2481,5111,891,121,56,245,606,1166,5394,85,75,0,126,0,1711,0,1837,114,2300,413
200,Public Services,Sidewalk Repair,5,6671,7174,11678,3568,5009,679,1081,50,612,163,325,6202,170,209,0,219,0,2251,0,2470,138,4252,582
500,Public Services,Streetlight/Lamp,6,5171,24516,30253,1618,3886,484,1002,72,518,1018,908,4684,76,335,0,65,50,1621,50,1686,65,770,393
500,Public Services,Street Sign,6,5171,24516,30253,1618,3886,484,1002,72,518,1018,908,4684,76,335,0,65,50,1621,50,1686,65,770,393
1521,Public Services,Other,1,4229,17670,16308,1711,2655,719,909,20,380,433,299,3526,261,361,0,58,87,1824,87,1882,61,1007,528
301,Public Services,Road Repair,3,4355,20845,19201,1310,2160,334,1822,27,517,826,375,3980,162,88,0,152,0,1727,0,1879,34,917,351
400,Neighborhood,Tree/Limbs (Private Property),3,6655,23015,18756,1776,2389,518,3364,0,1169,709,449,6285,171,161,0,140,120,953,120,1093,303,401,273
400,Neighborhood,Tree/Limbs (Private Property),3,6655,23015,18756,1776,2389,518,3364,0,1169,709,449,6285,171,161,0,140,120,953,120,1093,303,401,273
600,Health and Public Safety,Vehicle (Abandoned/Non-Operational),1,5195,20582,13268,1777,290,38,4574,0,1036,309,66,5063,23,76,0,279,0,731,0,1010,317,205,67
600,Neighborhood,Trash/Debris (Private Property),1,5195,20582,13268,1777,290,38,4574,0,1036,309,66,5063,23,76,0,279,0,731,0,1010,317,205,67
1000,Neighborhood,Trash/Debris (Private Property),2,5596,16646,37463,2481,5111,891,121,56,245,606,1166,5394,85,75,0,126,0,1711,0,1837,114,2300,413
808,Neighborhood,General Code Issue,1,3305,19755,19644,1235,1949,467,709,19,444,451,478,2646,215,370,0,92,41,1204,41,1296,82,834,333
1000,Health and Public Safety,Mosquito Control,2,5596,16646,37463,2481,5111,891,121,56,245,606,1166,5394,85,75,0,126,0,1711,0,1837,114,2300,413
200,Public Services,Other,5,6671,7174,11678,3568,5009,679,1081,50,612,163,325,6202,170,209,0,219,0,2251,0,2470,138,4252,582
1100,Public Services,Road Repair,3,7143,40000,39743,618,5867,550,649,22,657,1303,1876,6073,555,300,0,0,0,817,0,817,346,317,268
806,Public Services,Residential Rental Maintenance,1,2414,17448,19195,978,1583,206,231,15,158,212,533,1760,164,464,0,85,8,889,8,974,26,700,588
1203,Neighborhood,Grass (Overgrown),1,3542,33315,28551,796,2377,205,687,18,374,536,679,3219,147,138,0,0,10,1065,10,1065,126,307,180
1000,Neighborhood,Tree/Limbs (Public Property),2,5596,16646,37463,2481,5111,891,121,56,245,606,1166,5394,85,75,0,126,0,1711,0,1837,114,2300,413
301,Neighborhood,Trash/Debris (Private Property),3,4355,20845,19201,1310,2160,334,1822,27,517,826,375,3980,162,88,0,152,0,1727,0,1879,34,917,351
1516,Public Services,Street Sign,1,2134,14117,14493,1160,1175,233,392,13,263,284,190,1705,151,230,0,45,7,939,7,984,39,808,317
1517,Health and Public Safety,Mosquito Control,1,4969,17613,15437,2220,3585,686,440,107,199,926,506,3531,293,706,22,81,33,1919,55,2000,0,1450,850
1000,Neighborhood,General Code Issue,2,5596,16646,37463,2481,5111,891,121,56,245,606,1166,5394,85,75,0,126,0,1711,0,1837,114,2300,413
500,Health and Public Safety,Vehicle (Abandoned/Non-Operational),6,5171,24516,30253,1618,3886,484,1002,72,518,1018,908,4684,76,335,0,65,50,1621,50,1686,65,770,393
400,Health and Public Safety,Vehicle (Abandoned/Non-Operational),3,6655,23015,18756,1776,2389,518,3364,0,1169,709,449,6285,171,161,0,140,120,953,120,1093,303,401,273
400,Neighborhood,Grass (Overgrown),3,6655,23015,18756,1776,2389,518,3364,0,1169,709,449,6285,171,161,0,140,120,953,120,1093,303,401,273
400,Health and Public Safety,Vehicle (Abandoned/Non-Operational),3,6655,23015,18756,1776,2389,518,3364,0,1169,709,449,6285,171,161,0,140,120,953,120,1093,303,401,273
400,Neighborhood,Grass (Overgrown),3,6655,23015,18756,1776,2389,518,3364,0,1169,709,449,6285,171,161,0,140,120,953,120,1093,303,401,273
