adrs,codes
1690 1698 NORTHWEST 16TH TERRACE,120010011003032
2106 NORTHWEST 4TH PLACE,120010010004035
1000 NW 6TH AVE,120010002003009
4321 SW 24TH AVE,120010015213023
NE 4TH AVE AND NE 6TH STREET,NA
1923 NW 23RD BLVD,120010011003008
1017 NW 42ND AVE,120010003022010
1522 NORTHWEST 4TH STREET,120010003012004
710 NW 4TH STREET,120010002001002
1653 NW 17TH ST,NA
35 SE 5TH AVE,120010005001098
4901 4999 SW 18TH PL,120010016044034
2301 SW 39TH DRIVE,120010015211000
4010 NORTHWEST 8TH AVENUE,120010017021033
1216 NE 9 AVE,120010005002003
1911 NE 3RD AVE,120010006003030
4348 NW 28TH TERR,120010012021005
207 NW 35TH TERRACE,120010016031026
212 NW 21ST ST,120010010004044
SW 62ND BLVD,NA
1410 SW 25TH PL,120010008091023
1521 NW 35TH TERRACE,120010017021007
300 SW 13TH ST,120010007001011
4373 7299 NW 18 AVE,120010017023009
715 NW 6TH AVE,120010002001016
2115 NW 3RD PL,120010010004044
5651 5681 NW 43RD ST,120010018034007
GUERRY HAWTHORNE CONNECTION TRAIL,NA
200 E UNIVERSITY AVE,120010005001023
618 NW 1ST STREET,120010005001004
716  SW   25  TH  STREET,NA
2003 NORTHWEST 32 PLACE,120010012031049
4234 NW 27TH TERR,120010012021000
417 NW 39 RD,120010016031008
3700 NW 53RD AVE,120010017011009
2800 NORTHEAST 9TH STREET,120010004004009
WESTSIDE PARK,NA
600 612 SOUTHEAST 8TH STREET,120010007001032
2114 NW 2ND ST,120010003011004
718 SW 10TH ST,120010002006009
327 NORTHWEST 16TH STREET,120010010003009
710 NW 3RD STREET,120010002001001
1531 NW 6TH AVENUE,120010010004019
1900 NW 22 STREET,120010011003015
20 SW 23 ST,120010010002032
SOUTH MAIN STREET,NA
157 GALE LEMERAND DR,NA
SE 4 AVE,NA
3403 W UNIV AV,120010016043000
752 NW 22ND ST,120010010004009
1805 1899 NORTHWEST 31ST PLACE,120010012032000
3700 NW 19TH ST,120010012022000
1223 NW 18TH AVE,120010003011026
439 NW 37TH AVE,120010003021006
4320 NW 25TH TERRACE,120010012021018
658 668 NORTHWEST 22ND STREET,120010010004032
1220 NW 7TH ST,120010003012029
4313 NW 27TH TERRACE,120010012021018
2817 NW 41ST PLACE,120010012021010
4234 NW 27TH TERRACE,120010012021000
3960 PLAZA BLVD,NA
N MAIN ST   1ST AV,NA
4201 NW 14TH PLACE,120010017021012
NW 80TH AVE,NA
709 NW 22ND ST,120010010004026
1629 1635 NORTHWEST 36TH WAY,120010017021007
120   NORTH WEST  24  TH ST,NA
2930 SW 23RD TERRACE,120010010002033
420 498 NE BLVD,120010005005025
1025 NE 22ND ST,120010006001018
901 921 NE 4TH PL,120010005004020
1911 SE 14 AVE,120010007003045
2419 NW 13TH PLACE,120010010005002
516 SW 40 TERRACE,120010016041000
BO DIDDLEY PLAZA,NA
3941  SW 5TH PLACE,120010016042024
2116 2124 NE 8TH ST,120010004003003
4027 SOUTHWEST 28TH TERRACE,120010015171000
4304 NW 13TH STREET,120010022043021
914 NE BLVD,NA
ADDRESS UNAVAILABLE,NA
876 SE 4 ST,120010007002011
928 SW 1 AVE,120010002004012
2814 NE 18TH DR,120010004001006
3396 3520 SW 35TH PL,120010015151011
3312 SOUTHWEST 35TH BOULEVARD,120010015151011
207 SE 2 ST,120010005001044
3300 SW 23RD TERRACE,120010015142001
162 NORTHWEST 24TH STREET,120010010002001
3525 SW ARCHER RD,120010022201001
200 E UNIVERSITY AVE,120010005001023
5100 NW 80TH RD,120010018131012
700 SOUTHWEST 62ND BOULEVARD,120010016044006
902 NORTHWEST 62 STREET,120010016044000
901 999 NE 31ST AVE,120010004004010
"935 NE 3RD AVE
GAINESVILLE FL 32601
UNITED STATES",120010005004028
527 535 NE 12TH ST,120010005004002
2928 NW 49TH PL,NA
3107 NORTHWEST 1ST AVENUE,120010010002009
1700 1710 NE 21ST PL,120010004002002
WALDO ROAD GREENWAY DEPOT AVENUE RAIL TRAIL,NA
FLORIDA 222,NA
262 VILLAGE DR,NA
1700 NW 7TH AVE,120010010004010
NW 37TH STREET,NA
1100 SE 6 AVE,120010007001017
2112 SE 3RD PLACE,120010006003038
439 NW 37TH AVE,120010003021006
4125 NW 12TH ST,120010003022014
1607 NW 45TH AVE,120010012031011
20 SW 23RD TER,120010010002033
201 NW 28TH TERRACE,120010010002002
NW 21ST ST,NA
2635 SW 35TH PL,120010015162000
1578 NORTHWEST 7TH AVENUE,120010010004011
3830 NW 10TH PL,120010017021027
1819 NE 16TH WAY,120010004002020
4717 NW 31 TERRACE,120010012024000
1535 NW 5TH AVE,120010010003002
1260 SW 16TH AVE,120010008061016
1210 SW 11TH AVE,120010008061008
1206 W UNIVERSITY AVE,120010002004007
1021 NORTHWEST 8TH STREET,120010003012058
2918 NE 10TH ST,120010004004010
300 SOUTHWEST 2ND AVENUE,120010005001063
3926 SOUTHWEST 3RD AVENUE,120010016042012
203 NW 11TH ST,120010002004005
SW 16TH AVE,NA
210 NW 15TH ST,120010010003013
3806 SOUTHWEST 4TH PLACE,120010016042019
1202 SW 1 AVE,120010002005000
145 299 NW 6TH ST,120010005001055
NW 23RD TERR AND NW 27 TH AVE,120010015153000
