adrs,codes
1000 NW 6TH AVE,120010002003009
710 NW 4TH STREET,120010002001002
1216 NE 9 AVE,120010005002003
1410 SW 25TH PL,120010008091023
5651-5681 NW 43RD ST,120010018034007
4234 NW 27TH TERR,120010012021000
2114 NW 2ND ST,120010003011004
20 SW 23 ST,120010010002032
1805-1899 NORTHWEST 31ST PLACE,120010012032000
1220 NW 7TH ST,120010003012029
4201 NW 14TH PLACE,120010017021012
420-498 NE BLVD,120010005005025
BO DIDDLEY PLAZA,NA
ADDRESS UNAVAILABLE,NA
207 SE 2 ST,120010005001044
700 SOUTHWEST 62ND BOULEVARD,120010016044006
3107 NORTHWEST 1ST AVENUE,120010010002009
NW 37TH STREET,NA
20 SW 23RD TER,120010010002033
1819 NE 16TH WAY,120010004002020
1021 NORTHWEST 8TH STREET,120010003012058
210 NW 15TH ST,120010010003013
307 NW 14TH ST,120010010003020
3880 SW 20TH AVE,120010015201007
2718 W UNIVERSITY AVE,120010010002015
530 N MAIN ST,120010005001010
2509 NW 8TH AVE,120010022081000
1209 NW 4TH AVE,120010002003014
30 NE 43RD TER,120010014001016
903 NW 51ST TER,120010017022017
202 SE 2ND AVE,120010005001045
1724 NW 12TH ST,120010003011026
3 SE 1ST AVE,120010005001058
2922 NE 17TH TERRACE,120010004001013
2220 SOUTHWEST 14TH STREET,120010008091008
452 NW 37 PL,120010003021006
324  NW   24  TH  ST   32607,120010010002001
3002 NW 31ST TER,120010011004004
2951 NW 21ST AVE,120010011004012
1927 NW 7 LANE,120010010004025
3017 NE 11TH TERRACE,120010004004014
NE 9TH AVE AND NE 6TH ST,NA
818 NW 21ST TERRACE,120010010001035
2091-2097 SOUTHWEST 23RD TERRACE,120010015142000
730 NORTHWEST 5 STREET,120010002001002
401 E UNIVERSITY AVE,120010005001030
1001 WALDO ROAD GREENWAY-DEPOT AVENUE RAIL-TRAIL,120010006001040
3405 NW 10TH AVE,120010017021036
1633 NE 18TH PL,120010004002018
2-110 NE 16TH AVE,120010004003018
"3000 SW 35TH PL
GAINESVILLE FL 32608
UNITED STATES",120010015153000
1022-1098 NORTHEAST 7TH STREET,120010005003018
2552 NW 62ND AVE,120010018033015
2337 SW ARCHER RD,120010015142000
200-204 NE 5TH AVE,120010005005021
525-601 SOUTHWEST 42ND STREET,120010016042013
334 SE 21ST STEET,120010006003056
4526 NW 41ST PL,120010018113027
2901-2915 SOUTHWEST 35TH PLACE,120010015172000
3194-3258 NW 8TH AVE,120010010005010
1653 NW 16TH AV,120010010001002
2784 NW 13TH ST,120010012032004
1712 NW 49TH TER,120010017022003
NE 2ND ST AND NE 13TH AVE,120010003012000
2021 NORTHWEST 11TH ROAD,120010010001015
620 NE BLVD,120010005005010
TRAFFIC SIGNALS ON SW 13TH STREET TO WILLISTON RD AT 5 AM,NA
910 SE 8TH AVE,120010007002003
NW 14TH AVE BETWEEN 2ND AND 4TH STREETS AND 4TH AND 6TH STREETS,NA
405 NE 5TH AVE,120010005005024
6431 NW 26TH TERRACE,120010018033000
4021 NORTHWEST 21ST STREET,120010012031019
1350-1402 SOUTHEAST 4 STREET,120010007002070
1638 NW 23RD AVE,120010012032006
1526 NE 7TH STREET AND,120010005003004
NW 13 ST AND STADIUM RD,NA
MILLRUN SW 20TH,NA
517 SW 10TH ST,120010002006012
22 NW 13TH ST,120010007001001
2400–2898 SW 14TH DR,NA
3131 NORTHWEST 10TH PLACE,120010010005016
817 NW 37TH TERRACE,120010017021007
NE 39TH AVE & NE 28TH DR,NA
1610 NW 16TH TERRACE,120010011003032
2441 NW 43RD STREET,120010011002012
200 E UNIVERSITY AVE,120010005001023
2206 W UNIVERSITY AVE,120010010004033
210 NW 24TH ST,120010010002001
3900 NW 15 AVE,120010017021012
1126 NW 16TH AVE,120010003011025
1518 NW 7TH AVE,120010010004011
2300 SE 11 AVE,120010007003011
537 NW 35TH TERRACE,120010016031005
6005 NORTHWEST 23RD TERRACE,120010018033019
1123-1199 NE 9 AVE,120010005002034
2320-3340 SOUTHWEST 34 PLACE,120010015153000
200 EAST UNIVERSITY AVENUE,120010005001023
505 NORTHEAST 20TH STREET,120010006003018
2940-2954 SW 35TH PL,120010015153000
1045 NE 12TH AVE,120010005002019
8620 NW 13 ST #115,NA
2105 NW 3RD PL,120010010004044
4322 NW 20TH TERR,120010012031007
1818 NW 22 DR,120010011003016
719 SE 2ND AVE,120010005001070
8620 NW 13TH ST UNIT 409,120010018032002
1218 SW 3RD AVE,120010002005002
701 NW 21ST AVE,120010003011014
3620 NORTHWEST 31ST STREET,120010012022011
3002-3098 N MAIN ST,120010003021013
4013 NORTHWEST 14TH STREET,120010012031029
4010 SW 30TH TR,120010022201019
1935 NW 5TH AVENUE,120010010004037
536 SOUTHWEST 2ND AVENUE,120010005001065
1417 NW 6TH PL,120010022071007
3514 NW 11TH AVE,120010017021010
1017 SE 2 ST,120010007002017
3207 SW 1ST WAY,120010008081003
2021 NW 22ND ST,120010011003010
WALDO ROAD GREENWAY-DEPOT AVENUE RAIL-TRAIL,NA
NORTHWEST 53RD AVENUE,NA
4025 NW 9TH CT,120010017021033
3745 SOUTHWEST 3 PLACE,120010016042021
3300-3320 NORTHWEST 17TH STREET,120010012031040
612 NW 10TH AVE,120010003012058
1907 NW 14TH AVE,120010010001006
300-398 NW 14TH DR,120010010003014
929 SE 9TH AVE,120010003012048
1822 NW 6TH AVENUE,120010010004021
6216 NW 43 STR,120010018131053
2199 NORTHWEST 8TH AVENUE,120010022081000
"3501 SW 34TH ST
GAINESVILLE FL 32608
UNITED STATES",120010015172004
NORTHEAST 3RD AVENUE,NA
NE 16TH AVE AND N MAIN ST,120010003011002
SW 34TH ST & HULL RD,NA
