gainsville_df.Tract,Health and Public Safety,Neighborhood,Public Services,Transportation,Total,Population
200,0.13624964464195152,0.11738363656463784,0.12303674605913521,0.1480790044532622,684,6671
301,0.056900088409628374,0.08177589124287094,0.05737253239903354,0.015000482219864704,556,4355
302,0.023223183476485245,0.02024963840930686,0.010708804508005834,0.005380195919042174,230,2343
400,0.08495178619136817,0.05255111855909388,0.04151029551901957,0.01273481428411782,248,6655
500,0.14677154678704513,0.16718914050287065,0.2774948038195193,0.06728651054989904,1552,5171
600,0.039788838100449975,0.04134525789863174,0.023464678824049536,0.001988200156453556,213,5195
806,0.0010875871049593642,0.0024015267701467044,0.0037643070391778083,0.0027716160795065743,48,2414
808,0.01240843476211923,0.007603321797001598,0.006753125747083691,0,75,3305
809,0.003882244442185104,9.184795321201096e-4,0.002250540051106305,0,46,1231
901,0.0014582257372487471,0.001207478507566513,0.004176947273138476,0.0018580773358194446,21,4855
902,0.0070780264904501235,0.010047315499211533,0.01339553658125039,0.007730443688201228,64,6733
1000,0.08572024562468453,0.1913685556430594,0.12487502227472204,0.5932421861246209,1242,5596
1100,0.12229002412905553,0.06884026476981865,0.0553086322035537,0.013668636879256738,304,7143
1201,0.008733886117525786,0.008295601184398383,0.008461759585282046,0.0026185304081723254,87,3421
1202,0.10208135818334207,0.07725686251321418,0.04834069048895986,0.008391773788365182,296,7309
1203,0.036703136326685815,0.024665888458582183,0.02304537096055914,0.021689177914636367,249,3542
1514,0.002109846898311807,0.0012617590810528965,0.004700463733633793,0.0017922504971457176,72,1561
1515,0.01094765600349734,0.0025900476164361823,0.0279986669042637,0.0019927927265935837,109,5207
1516,0.0022433548983544576,0.0010614867704003867,0.002868693833959033,0,33,2134
1517,0.01268596320315277,0.007723945293638006,0.01175632136984943,0.0019017067521497056,70,4969
1519,0.003024429260808704,0.00375655144138239,0.010983682912489405,0.0011010686910715845,93,2877
1520,0.005823441752141572,0.0017019104896555403,0.003066303015586014,8.729710407835537e-4,38,2281
1521,0.012702032220030796,0.02103574298042753,0.03001659271871196,0.0016184982601813453,213,4229
1603,0.005287457441509154,0.006749817292708832,0.004180765028756303,0.010105950593130434,145,1467
1604,0.04516940573321497,0.03740236180806414,0.059009327906169674,0.07155492178087623,232,8129
1803,0.025405115684156414,0.037662324096433636,0.016138620878262313,0.004176942542354978,168,5457
1902,0.005273040379637281,0.005954075277269273,0.005320768364721916,0.0024432473144946104,63,3192
