gainsville_df.Tract,Building (Abandoned/Damaged),Dead Animal (Public Property),Emergency - Flooding,Emergency - Other,Emergency - Traffic,Emergency - Tree or Brush Debris,Flooding,Garbage Pick Up & Recycling,General Code Issue,General Police Enforcement,Graffiti,Grass (Overgrown),Maintenance Ditch/Drainage/Flooding,Mosquito Control,Noise Complaint,Other,Park Repair or Clean Up,Parking Enforcement,Parking in Yard (Other Than Driveway),Parking Meter Malfunction,Request for New Streetlight/Lamp,Request to City Auditor's Office,Request to General Manager of Utilities,Residential Rental Maintenance,Right-of-Way Maintenance,Road Repair,Sewer/Wastewater,Sidewalk Repair,Street Sign,Street Sweeping,Streetlight/Lamp,Traffic Enforcement,Traffic/Pedestrian Signal,Trash/Debris (Private Property),Trash/Debris (Public Property),Tree Planting Suggestion,Tree/Limbs (Private Property),Tree/Limbs (Public Property),Vehicle (Abandoned/Non-Operational),Water Pipe Leaks/Spills,Total,Population
200,0.24979506496187703,0.45979625877066016,0,0.010390075616574904,0,0.08047026983162664,0,0.08346105005035688,0.09746451552359797,0.14137308422623085,0.1615567180083309,0.09961674023406238,0.09027755849568979,0,0.24180967592120614,0.13984595964174343,0,0.36429140093063894,0.06680454808393527,0,0.11519400459325517,0,0,0.13178260118033436,0.1265583513489974,0.13878529724770153,0.2786782521513911,0.12765341121291823,0.1539612269732701,0.6287760968942928,0.07931657670082991,0.18539751861042184,0.13890115052045768,0.118113749448472,0.17406711421685203,0.026377284930824373,0.04189773961977377,0.07458411334906931,0.16592922761511558,0.0751272579845939,783,6671
301,0.02644421010446121,0,0.027538018906699546,0.027131632025293784,0,0.04775732480025266,0,0.08172827304061704,0.08442858178413908,0.25841753695917535,0.02109367431948077,0.07316141008608296,0.03536130420465259,0.05460335769901074,0.009866222630010987,0.08019158160490246,0.10882194929971639,0.01251677765546815,0.010261581980143663,0.09524746845132646,0.05013440163929708,0,0,0.032261649011037855,0.10139793504702757,0.05459387660933045,0,0.051725434872405315,0.07995100918971088,0,0.027615944958346215,0.03458064516129032,0.050779812005590196,0.12028799145600795,0.065788961700355,0,0.13675959829419487,0.05453327406257239,0.050099321862842244,0.04904500202711834,637,4355
302,0.037938788687181084,0.032298085273561886,0.029631034809826425,0.029193760659133563,0,0.017985485282409733,0.09845365156735861,0.029313332374154726,0.017115826703027286,0.009930659161806592,0,0.01968050331018282,0.01268297523941845,0.048961219704853495,0.03715635300914127,0.020576013942272826,0.0292732293007159,0.006734055119807549,0,0,0.053944846402237914,0,0,0.005785613749166605,0.014143194563135597,0.0112487097350656,0,0.0030920447482088442,0.0073737988334522265,0,0.0018571802249542245,0.018604466501240695,0.015611231691533256,0.030421682551696087,0.00858051211155032,0.009264275010181608,0.02943079116448207,0.009430401428222601,0.0233111785520741,0,280,2343
400,0.053880204590949665,0,0.1262449018305985,0.08292124506467514,0,0.12406486661943937,0,0,0.08227217530418678,0.11282720737827208,0.12893538699990312,0.027950010569625837,0.054036619858085645,0.02781365063045668,0,0.060328885343389656,0,0.038254491525667296,0,0,0.03830590618938256,0,0,0.19719979257722794,0.028694274683759343,0.035500622794547146,0,0.04830412628950671,0.0314165372833704,0,0.019341994361612463,0.1849528535980149,0.038799041205189753,0.05341647546635839,0.057883208170346784,0,0.06269587554405512,0.02976209110106768,0.0765582059695098,0,325,6655
500,0.13082951631282905,0.2851274416552941,0.032697840589332575,0.13691506179377155,0,0.17011696432292067,0.21728716698882258,0.0970417680581012,0.13221117779971803,0.21916960531669605,0.25046013755691177,0.13030458721761248,0.11196528376104618,0.15128034738852597,0.12886351536570723,0.20947772001232867,0.3876360274366246,0.13375851097768823,0.01218430319617058,0.9047525315486735,0.11905625298590365,1,0,0.07661308245055189,0.29876280463144134,0.2510174089079624,0,0.5595795980473797,0.26852051949141875,0,0.3880193512419513,0.1231801488833747,0.06890796336057914,0.1538131034790469,0.3006278367670183,0.16357000794758547,0.1136690511929959,0.18037839670206515,0.13344263039239676,0.2911730258119735,1716,5171
600,0.03680228474736823,0,0,0.03236482855830108,0,0.1082407978050273,0,0,0.018974972198511898,0.02201868303268683,0.025162259033226775,0.033939465209598244,0.014060618089794887,0,0.0588461843431769,0.019131814761766626,0,0.007465517786470383,0,0,0,0,0.36553616661975796,0.012828110724251178,0.02687905460233745,0.011084942774916449,0,0.013711628226158725,0.03269900549704167,0,0.045296015345714535,0,0.01730694593203484,0.0355657361178425,0.08085658633499429,0.16432918029156962,0.03262760565503294,0.04878881034817398,0.03068888549645852,0,257,5195
806,0.004886056118803625,0,0,0,0,0.002647214283991043,0,0,0.0013564990860208104,0,0,0.0022529869109300196,0.00435576927414371,0,0,0.006154702117629995,0,0.003469058698082677,0.001422012566019908,0,0.013894884679364311,0,0,0.011921870755858458,0.010408411583259962,0,0,0.0015928715369560712,0.006331039402458982,0,0.0012756389423928007,0,0.004021074829637354,0.0022795310341766763,0.0022101319075205367,0.019090021233101495,0,0.0021591491485492826,0.0015010986188835594,0.027185909275192575,49,2414
808,0.003344742227142912,0,0,0.015442602269275997,0,0.04349151553566063,0,0,0.005571536221166668,0,0,0.003084557473332111,0.023853881443322223,0.041438369045977155,0.007487454831730497,0.008426383802306186,0,0,0,0,0,0,0,0,0.0057000497568639895,0.001763028675221312,0,0.002180795538376063,0.003467122655364861,0,0.006985893462482529,0.02624317617866005,0.013763103057116253,0.00624179790219877,0.00907765445860237,0,0,0.020692591363582293,0.004110299035136838,0.0372201450515789,99,3305
809,0.0012458026268117775,0,0,0,0,0.0026998515191325382,0,0,0.0010376037955001768,0,0,0,0,0.0051447939783759835,0,0.0027898143447675685,0,0,0,0,0,0,0,0.006079462676247623,0,0.004268343099783156,0,8.122721052166213e-4,6.456925852880702e-4,0,9.757528198543108e-4,0,0.005126287401909261,0.001162428625961677,0.0016905586442571131,0,0,5.505204229213271e-4,0.006889259154354166,0.013863237082751475,66,1231
901,0,0,0,0,0,0,0,0,0,0,0.023515450934805775,0.004531172929811618,0.01314038514455326,0,0,0.004126081024729857,0,0.006976917969839021,0,0,0,0,0,0,0.01674659096494685,0.0012949325594855477,0,0,0.005093155973312073,0,0,0,0.012130686597694295,0,0,0,0,0.00434244785261258,0.0015094933294696937,0,23,4855
902,0.00681396351447904,0,0,0,0,0,0,0,0.007566949748283445,0,0.06522328780393297,0,0.006074439627756752,0,0,0.009536870422075568,0,0.009675713427585195,0,0,0.07750974196036446,0,0,0,0.005806117248557526,0.005387506234613508,0,0.013328256907612131,0.024721476228441945,0,0.005336916113792912,0,0.07850757158062888,0,0.009246572990888012,0.3727140806699696,0,0.006022183602809577,0.01046696044008182,0,70,6733
