gainsville_df.Tract,Health and Public Safety,Neighborhood,Public Services,Transportation,Total,Population
200,0.1279360945630798,0.1145321231066852,0.1162206928078017,58,684,6671
301,0.05342821341333922,0.07978937028271382,0.054194179195449006,9,556,4355
302,0.021806173550845114,0.01975772899047558,0.010115552620885818,6,230,2343
400,0.07976827961674562,0.05127453328547949,0.03921068671271841,5,248,6655
500,0.1378159813793401,0.16312773894708438,0.2621220032507111,34,1552,5171
600,0.03736104095648326,0.04034088827122161,0.02084543884599756,1,208,5195
700,0.05410719739947018,0.02327778938532804,0.039627691995123934,6,188,6395
806,0.0010212257585795232,0.0023431882648394845,0.0035557700121901666,3,48,2414
808,0.01165130879627632,0.007418619950442636,0.0063790125965054855,0,75,3305
809,0.003645361376006525,8.961675913475783e-4,0.002125863470134092,0,46,1231
901,0.0013692491184489326,0.0011781461294320316,0.003945550589191386,1,21,4855
902,0.006646146261752486,0.00980324352972095,0.012653443722064202,3,64,6733
1000,0.08048984992973256,0.18671978152244628,0.11795713124746038,277,1242,5596
1100,0.11482824877973252,0.06716797937140141,0.05224461600975213,5,304,7143
1201,0.00771856022115559,0.007679001165042136,0.007124187322226737,0,78,3421
1202,0.09585265582153678,0.07538011895999909,0.045662687931735065,3,296,7309
1203,0.034463619572675824,0.02406669835891888,0.021768691588785048,16,249,3542
1400,0.0019540355339183173,8.406576166601268e-4,2.346099146688338e-4,0,4,4619
1514,0.001981110284767153,0.0012311081052813707,0.004440065014221861,3,72,1561
1515,0.010279662434262645,0.002527129514295608,0.02644758228362454,1,109,5207
1516,0.0021064720217703558,0.0010357008610537408,0.0027097724502234866,0,33,2134
1517,0.011911903273196363,0.007536313230107834,0.01060026412027631,1,68,4969
1519,4.056982197505231e-4,0.002268992965339208,0.005260666395774076,1,50,2877
1520,0.005468112571173456,0.0016605672427813373,0.002896434376269809,1,38,2281
1521,0.010734292625599346,0.019755059658359463,0.027064912637139373,1,204,4229
1603,0.004964832436905255,0.006585848996852857,0.00394915684681024,18,145,1467
1604,0.037828080408625675,0.031069023832525133,0.042940674522551806,23,190,8129
1701,0,0.0010000895439591679,0.0041865603413246645,0,18,5495
1702,0.03171130193169886,0.03274251306941404,0.03083990247866721,3,207,5622
1803,0.006156121474254027,0.009269619773053383,0.006375,2,53,5457
1811,9.715887153566577e-4,0.0029259519990992217,0.008049065420560747,2,32,6890
1902,0.0027007063971713654,0.004066606145627597,0.003404713531084925,1,43,3192
1908,6.55575607792903e-4,2.82039204723456e-4,0.002833604225924421,0,13,4649
2101,0,0,3.196871190572938e-4,0,3,2098
110800,2.612995485567325e-4,4.496611282878588e-4,0.0016941284030881755,0,22,1853
