ID,Reporter Display,Request Type,Description,Latitude,Longitude,Service Request Date,Acknowledged,Minutes to acknowledge,Assigned To:,Last updated,Closed,Minutes to close,Distance,Census Code,Geo ID,Tract,Cluster Group
1809986,Lauren Poe,Road Repair,NA,29.67058748,-82.34323174,2015-07-28T10:40:00Z,NA,NA,Public Services,2018-09-26T02:38:00Z,2015-07-28T12:38:00Z,117,1.0707167157654194,120010011003032,12001001100,1100,4
1830255,Tom Hawkins,Grass (Overgrown),NA,29.65562511,-82.3517731,2015-08-05T20:57:00Z,NA,NA,Neighborhood,2018-09-26T02:54:00Z,2015-08-06T11:02:00Z,845,0.9433965903342472,120010010004035,12001001000,1000,2
1861104,Wyatt,Other,Same drug dealers,29.6562991,-82.3350413,2015-08-21T15:03:00Z,NA,NA,Public Services,2018-09-26T03:26:00Z,2015-08-24T07:07:00Z,3843,1.0329861582504385,120010002003009,12001000200,200,4
1865124,Sam,Other,"Westbound traffic at the intersection of SW 24th and SW 43rd/Clark Butler does not display green ball indication, only left Arrow.",29.63025275,-82.38882624,2015-08-24T00:22:00Z,NA,NA,Public Services,2018-09-26T03:26:00Z,2015-08-24T08:43:00Z,501,5.507107825200415,120010015213000,12001001521,1521,4
1866271,Monica Poole,Street Sign,Plant Growth is causing it to be hidden.  Plant grown needs to be removed because if just cut down it will grow back.,29.6546895,-82.3185709,2015-08-24T13:49:00Z,NA,NA,Public Services,2018-09-26T03:27:00Z,2015-08-24T14:09:00Z,19,2.581042068538852,120010005005026,12001000500,500,1
1880605,Michael,Other,Damaged boardwalk,29.6745292,-82.3478279,2015-08-29T12:43:00Z,2015-08-31T07:10:00Z,2547,Public Services,2019-12-19T21:58:00Z,2015-09-01T14:11:00Z,4408,1.5444934167545592,120010011003008,12001001100,1100,4
1912326,sunny323,Maintenance Ditch/Drainage/Flooding,NA,29.68815612,-82.32238453,2015-09-14T14:11:00Z,NA,NA,Public Services,2018-09-26T04:06:00Z,2015-09-14T17:36:00Z,205,3.6880319902190832,120010003021001,12001000302,302,4
1952859,soodohnim,Other,There is a palmetto overgrown on the corner of NW16th Ave and NW 4th street blocking the view down the road and interfering with the sidewalk.  This overgrown palmetto is very near the stopsign on public right of way I believe.  It makes this corner very dangerous for drivers who cannot see to pull out onto 16th Avenue and should be removed.,29.66655819,-82.3288111,2015-10-02T21:33:00Z,2015-10-05T08:33:00Z,3539,Public Services,2018-09-26T04:44:00Z,2015-10-05T08:45:00Z,3551,1.6153961557062548,120010003012004,12001000301,301,4
2005663,Lauren,Trash/Debris (Private Property),"Sorry, I got the address wrong on my last report. The address is not 710 NW 7th Ave, but 710 NW 4th Street.",29.658148,-82.3289999,2015-11-01T09:48:00Z,NA,NA,Neighborhood,2018-09-26T05:30:00Z,2015-11-02T15:58:00Z,1810,1.5084374278482398,120010002001002,12001000200,200,4
2096086,Neighbor,Trash/Debris (Private Property),Bins are in the street all the time.,29.6665552,-82.3443902,2015-12-09T10:44:00Z,NA,NA,Neighborhood,2018-09-26T06:52:00Z,NA,NA,0.6175438742056668,120010010001002,12001001000,1000,2
2107706,Rob,Building (Abandoned/Damaged),Abandoned building. Gate not secured. Trash left lying all over compound.,29.6469492,-82.323987,2015-12-16T14:47:00Z,2015-12-16T16:46:00Z,119,Neighborhood,2019-12-19T22:43:00Z,2016-01-05T13:14:00Z,28706,2.507824561442884,120010005001098,12001000500,500,1
2111293,Aparkes,Streetlight/Lamp,Pole number 25114 works sporadically and does not stay lit.,29.635651,-82.39653882,2015-12-19T03:17:00Z,NA,NA,Public Services,2019-12-19T22:42:00Z,2015-12-21T08:05:00Z,3167,5.793705247507058,120010016044035,12001001604,1604,3
2123183,trash,Trash/Debris (Private Property),have reported this location multiple times. no improvement,29.631391,-82.383703,2015-12-29T08:13:00Z,2015-12-29T08:42:00Z,29,Neighborhood,2018-09-26T07:48:00Z,2016-01-21T08:42:00Z,33149,5.044414331726899,120010015211000,12001001521,1521,4
2151417,Dave,General Code Issue,Vehicle(s) parked in middle of the front yard.  This was reported back in October and is still continuing.,29.65988621,-82.38508749,2016-01-12T11:27:00Z,NA,NA,Neighborhood,2018-09-26T07:32:00Z,NA,NA,3.953127909468823,120010017021033,12001001702,1702,4
